Combo,Design 1: LightGBM,Design 2: CatBoost,Design 3: XGBoost,LOI
1,6.156868102,6.833173286,6.159358712,"(10, 9, 8, 7, 6)"
2,6.159458373,7.018290576,5.934358712,"(10, 9, 8, 6, 7)"
3,6.37927783,6.609136145,6.159358712,"(10, 9, 7, 8, 6)"
4,6.384458373,6.979370724,5.709358712,"(10, 9, 7, 6, 8)"
5,6.60427783,6.570216293,5.934358712,"(10, 9, 6, 8, 7)"
6,6.606868102,6.755333583,5.709358712,"(10, 9, 6, 7, 8)"
7,6.156868102,6.832210428,6.186096633,"(10, 8, 9, 7, 6)"
8,6.159458373,7.017327718,5.961096633,"(10, 8, 9, 6, 7)"
9,6.601687559,6.384136145,6.186096633,"(10, 8, 7, 9, 6)"
10,6.609458373,6.939488014,5.511096633,"(10, 8, 7, 6, 9)"
11,6.826687559,6.345216293,5.961096633,"(10, 8, 6, 9, 7)"
12,6.831868102,6.715450872,5.511096633,"(10, 8, 6, 7, 9)"
13,6.37927783,6.607210428,6.212834554,"(10, 7, 9, 8, 6)"
14,6.384458373,6.977445008,5.762834554,"(10, 7, 9, 6, 8)"
15,6.601687559,6.383173286,6.212834554,"(10, 7, 8, 9, 6)"
16,6.609458373,6.938525156,5.537834554,"(10, 7, 8, 6, 9)"
17,7.051687559,6.305333583,5.762834554,"(10, 7, 6, 9, 8)"
18,7.05427783,6.490450872,5.537834554,"(10, 7, 6, 8, 9)"
19,6.60427783,6.567327718,6.014572475,"(10, 6, 9, 8, 7)"
20,6.606868102,6.752445008,5.789572475,"(10, 6, 9, 7, 8)"
21,6.826687559,6.343290576,6.014572475,"(10, 6, 8, 9, 7)"
22,6.831868102,6.713525156,5.564572475,"(10, 6, 8, 7, 9)"
23,7.051687559,6.304370724,5.789572475,"(10, 6, 7, 9, 8)"
24,7.05427783,6.489488014,5.564572475,"(10, 6, 7, 8, 9)"
25,5.931868102,6.967656045,6.357620791,"(9, 10, 8, 7, 6)"
26,5.934458373,7.152773335,6.132620791,"(9, 10, 8, 6, 7)"
27,6.15427783,6.743618903,6.357620791,"(9, 10, 7, 8, 6)"
28,6.159458373,7.113853483,5.907620791,"(9, 10, 7, 6, 8)"
29,6.37927783,6.704699051,6.132620791,"(9, 10, 6, 8, 7)"
30,6.381868102,6.889816341,5.907620791,"(9, 10, 6, 7, 8)"
31,5.931868102,6.965730328,6.411096633,"(9, 8, 10, 7, 6)"
32,5.934458373,7.150847618,6.186096633,"(9, 8, 10, 6, 7)"
33,6.599097288,6.293618903,6.411096633,"(9, 8, 7, 10, 6)"
34,6.609458373,7.034088062,5.511096633,"(9, 8, 7, 6, 10)"
35,6.824097288,6.254699051,6.186096633,"(9, 8, 6, 10, 7)"
36,6.831868102,6.810050921,5.511096633,"(9, 8, 6, 7, 10)"
37,6.15427783,6.740730328,6.437834554,"(9, 7, 10, 8, 6)"
38,6.159458373,7.110964908,5.987834554,"(9, 7, 10, 6, 8)"
39,6.599097288,6.292656045,6.437834554,"(9, 7, 8, 10, 6)"
40,6.609458373,7.033125204,5.537834554,"(9, 7, 8, 6, 10)"
41,7.049097288,6.214816341,5.987834554,"(9, 7, 6, 10, 8)"
42,7.05427783,6.585050921,5.537834554,"(9, 7, 6, 8, 10)"
43,6.37927783,6.700847618,6.239572475,"(9, 6, 10, 8, 7)"
44,6.381868102,6.885964908,6.014572475,"(9, 6, 10, 7, 8)"
45,6.824097288,6.252773335,6.239572475,"(9, 6, 8, 10, 7)"
46,6.831868102,6.808125204,5.564572475,"(9, 6, 8, 7, 10)"
47,7.049097288,6.213853483,6.014572475,"(9, 6, 7, 10, 8)"
48,7.05427783,6.584088062,5.564572475,"(9, 6, 7, 8, 10)"
49,5.706868102,7.101175945,6.582620791,"(8, 10, 9, 7, 6)"
50,5.709458373,7.286293235,6.357620791,"(8, 10, 9, 6, 7)"
51,6.151687559,6.653101662,6.582620791,"(8, 10, 7, 9, 6)"
52,6.159458373,7.208453531,5.907620791,"(8, 10, 7, 6, 9)"
53,6.376687559,6.61418181,6.357620791,"(8, 10, 6, 9, 7)"
54,6.381868102,6.98441639,5.907620791,"(8, 10, 6, 7, 9)"
55,5.706868102,7.100213087,6.609358712,"(8, 9, 10, 7, 6)"
56,5.709458373,7.285330377,6.384358712,"(8, 9, 10, 6, 7)"
57,6.374097288,6.428101662,6.609358712,"(8, 9, 7, 10, 6)"
58,6.384458373,7.168570821,5.709358712,"(8, 9, 7, 6, 10)"
59,6.599097288,6.38918181,6.384358712,"(8, 9, 6, 10, 7)"
60,6.606868102,6.944533679,5.709358712,"(8, 9, 6, 7, 10)"
61,6.151687559,6.650213087,6.662834554,"(8, 7, 10, 9, 6)"
62,6.159458373,7.205564956,5.987834554,"(8, 7, 10, 6, 9)"
63,6.374097288,6.426175945,6.662834554,"(8, 7, 9, 10, 6)"
64,6.384458373,7.166645104,5.762834554,"(8, 7, 9, 6, 10)"
65,7.049097288,6.30941639,5.987834554,"(8, 7, 6, 10, 9)"
66,7.051687559,6.494533679,5.762834554,"(8, 7, 6, 9, 10)"
67,6.376687559,6.610330377,6.464572475,"(8, 6, 10, 9, 7)"
68,6.381868102,6.980564956,6.014572475,"(8, 6, 10, 7, 9)"
69,6.599097288,6.386293235,6.464572475,"(8, 6, 9, 10, 7)"
70,6.606868102,6.941645104,5.789572475,"(8, 6, 9, 7, 10)"
71,7.049097288,6.308453531,6.014572475,"(8, 6, 7, 10, 9)"
72,7.051687559,6.493570821,5.789572475,"(8, 6, 7, 9, 10)"
73,5.70427783,7.010658704,6.807620791,"(7, 10, 9, 8, 6)"
74,5.709458373,7.380893283,6.357620791,"(7, 10, 9, 6, 8)"
75,5.926687559,6.786621562,6.807620791,"(7, 10, 8, 9, 6)"
76,5.934458373,7.341973432,6.132620791,"(7, 10, 8, 6, 9)"
77,6.376687559,6.708781858,6.357620791,"(7, 10, 6, 9, 8)"
78,6.37927783,6.893899148,6.132620791,"(7, 10, 6, 8, 9)"
79,5.70427783,7.009695846,6.834358712,"(7, 9, 10, 8, 6)"
80,5.709458373,7.379930425,6.384358712,"(7, 9, 10, 6, 8)"
81,6.149097288,6.561621562,6.834358712,"(7, 9, 8, 10, 6)"
82,6.159458373,7.302090721,5.934358712,"(7, 9, 8, 6, 10)"
83,6.599097288,6.483781858,6.384358712,"(7, 9, 6, 10, 8)"
84,6.60427783,6.854016438,5.934358712,"(7, 9, 6, 8, 10)"
85,5.926687559,6.784695846,6.861096633,"(7, 8, 10, 9, 6)"
86,5.934458373,7.340047715,6.186096633,"(7, 8, 10, 6, 9)"
87,6.149097288,6.560658704,6.861096633,"(7, 8, 9, 10, 6)"
88,6.159458373,7.301127863,5.961096633,"(7, 8, 9, 6, 10)"
89,6.824097288,6.443899148,6.186096633,"(7, 8, 6, 10, 9)"
90,6.826687559,6.629016438,5.961096633,"(7, 8, 6, 9, 10)"
91,6.376687559,6.704930425,6.464572475,"(7, 6, 10, 9, 8)"
92,6.37927783,6.890047715,6.239572475,"(7, 6, 10, 8, 9)"
93,6.599097288,6.480893283,6.464572475,"(7, 6, 9, 10, 8)"
94,6.60427783,6.851127863,6.014572475,"(7, 6, 9, 8, 10)"
95,6.824097288,6.441973432,6.239572475,"(7, 6, 8, 10, 9)"
96,6.826687559,6.627090721,6.014572475,"(7, 6, 8, 9, 10)"
97,5.70427783,7.105258752,6.807620791,"(6, 10, 9, 8, 7)"
98,5.706868102,7.290376042,6.582620791,"(6, 10, 9, 7, 8)"
99,5.926687559,6.881221611,6.807620791,"(6, 10, 8, 9, 7)"
100,5.931868102,7.25145619,6.357620791,"(6, 10, 8, 7, 9)"
101,6.151687559,6.842301759,6.582620791,"(6, 10, 7, 9, 8)"
102,6.15427783,7.027419049,6.357620791,"(6, 10, 7, 8, 9)"
103,5.70427783,7.104295894,6.834358712,"(6, 9, 10, 8, 7)"
104,5.706868102,7.289413184,6.609358712,"(6, 9, 10, 7, 8)"
105,6.149097288,6.656221611,6.834358712,"(6, 9, 8, 10, 7)"
106,6.156868102,7.21157348,6.159358712,"(6, 9, 8, 7, 10)"
107,6.374097288,6.617301759,6.609358712,"(6, 9, 7, 10, 8)"
108,6.37927783,6.987536338,6.159358712,"(6, 9, 7, 8, 10)"
109,5.926687559,6.879295894,6.861096633,"(6, 8, 10, 9, 7)"
110,5.931868102,7.249530474,6.411096633,"(6, 8, 10, 7, 9)"
111,6.149097288,6.655258752,6.861096633,"(6, 8, 9, 10, 7)"
112,6.156868102,7.210610622,6.186096633,"(6, 8, 9, 7, 10)"
113,6.599097288,6.577419049,6.411096633,"(6, 8, 7, 10, 9)"
114,6.601687559,6.762536338,6.186096633,"(6, 8, 7, 9, 10)"
115,6.151687559,6.839413184,6.662834554,"(6, 7, 10, 9, 8)"
116,6.15427783,7.024530474,6.437834554,"(6, 7, 10, 8, 9)"
117,6.374097288,6.615376042,6.662834554,"(6, 7, 9, 10, 8)"
118,6.37927783,6.985610622,6.212834554,"(6, 7, 9, 8, 10)"
119,6.599097288,6.57645619,6.437834554,"(6, 7, 8, 10, 9)"
120,6.601687559,6.76157348,6.212834554,"(6, 7, 8, 9, 10)"
,6.37927783,6.797373383,6.186096633,
